poem_line,cluster_label,tsne_dim1,tsne_dim2
端居耻圣明,7,-7.031963,22.648218
徒有羡鱼情,7,-20.508522,-21.97728
永怀尘外踪,8,8.131302,-15.6989565
日暮但闻钟,9,33.80537,-27.586288
遑遑三十载,13,-18.170666,-33.164036
书剑两无成,7,-16.605612,28.771688
风尘厌洛京,7,-16.846792,42.34395
且乐杯中物,2,50.179447,-3.9749916
谁论世上名,8,20.783966,22.493933
一坐凛生寒,10,-2.9895446,14.517053
相看似相识,19,18.401897,-23.031385
脉脉不得语,0,2.5353994,-41.581493
挂席东南望,16,14.296408,-12.89756
问我今何适,19,3.5738277,-0.7007833
花落知多少,6,-26.499449,-24.452564
日暮客愁新,5,-32.92725,0.93841773
宝剑值千金,4,21.692812,33.287617
平生一片心,12,20.925344,7.5410013
扁舟共济与君同,12,18.102962,-27.417213
何处青山是越中,19,11.218918,-14.106736
天涯一望断人肠,3,-55.28718,-9.43564
云海去愁人,16,26.69222,-4.805247
因怀故园意,17,-2.888887,-26.358181
窜谪边穷海,13,-12.774028,-8.504196
故乡可忆处,17,-3.6616042,-26.385422
张公性嗜酒,2,45.75296,-3.4655478
豁达无所营,8,38.161346,8.554085
兴来洒素壁,2,44.843727,-5.4513626
挥笔如流星,15,35.099968,11.475383
问家何所有生事如浮萍,13,-11.844525,-15.098662
微禄心不屑,18,24.65915,25.849424
放神于八纮,8,40.18823,13.509727
赌胜马蹄下,2,49.73666,26.226206
由来轻七尺,18,23.566626,21.86746
杀人莫敢前,1,2.2258894,39.84275
须如猬毛磔,10,3.8201187,35.85916
未得报恩不得归,7,-7.921007,25.644243
使我三军泪如雨,11,-61.390297,4.2817307
公主琵琶幽怨多,5,-42.468033,-0.021815725
胡雁哀鸣夜夜飞,5,-45.251472,-3.2603438
胡儿眼泪双双落,11,-61.97574,1.7535127
年年战骨埋荒外,1,-47.859615,16.604061
空见蒲桃入汉家,6,-14.215614,21.18037
有志飞鸣人岂知,7,27.692804,21.341122
共笑狂歌非远图,2,48.14348,2.132807
还是昂藏一丈夫,15,41.084175,27.780329
不叹举家无担石,4,30.456144,13.5842905
莫言贫贱长可欺,15,28.11642,24.662352
覆篑成山当有时,4,40.751804,16.869177
莫言富贵长可托,18,15.823636,19.636185
木槿朝看暮还落,6,-26.323027,-34.918175
五湖三江愁杀人,5,-35.341175,-0.16978642
客有归欤叹,17,-10.441525,-26.113565
凄其霜露浓,9,-42.040646,-24.902918
鸿雁不堪愁里听,5,-38.543198,-4.2057095
莫见长安行乐处,18,7.3543797,11.009155
空令岁月易蹉跎,6,-19.780113,-31.943527
羡尔城头姑射山,8,33.237885,-6.74103
莫学游侠儿,18,6.7492423,11.714823
矜夸紫骝好,4,38.650097,22.418934
昔日长城战,1,-48.003555,21.834558
咸言意气高,15,42.044834,23.836628
黄尘足今古,6,13.894494,-21.514612
白骨乱蓬蒿,1,-46.82862,15.556717
黄昏独坐海风秋,9,-39.221134,-27.41041
无那金闺万里愁,5,-31.820679,-5.09658
总是关山旧别情,3,-21.64193,-13.044388
撩乱边愁听不尽,5,-38.910397,-0.58329463
不破楼兰终不还,15,38.111507,37.375214
万里长征人未还,17,-8.320517,-12.193431
但使龙城飞将在,15,37.291653,35.18858
不教胡马度阴山,15,35.138374,36.060684
欲卷珠帘春恨长,5,-27.332464,-5.84517
卧听南宫清漏长,9,31.216303,-34.43015
玉颜不及寒鸦色,18,-18.729094,7.161114
平阳歌舞新承宠,4,55.087658,17.301605
闺中少妇不知愁,0,16.64466,-37.006397
悔教夫婿觅封侯,7,-24.426077,-1.882049
钱塘江畔是谁家,19,4.60029,-2.120115
今日公然来浣纱,14,27.70464,8.854415
平明送客楚山孤,9,-26.929869,-17.476553
洛阳亲友如相问,12,11.523053,-23.451344
醉别江楼橘柚香,16,-8.117709,-35.723686
愁听清猿梦里长,5,-35.447132,-3.718042
分付鸣筝与客心,12,22.88792,-7.0222697
断弦收与泪痕深,11,-56.659306,-1.3946238
